"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2023,557,2301,1235
2,2023,336,3044,2729
3,2023,106,2758,2177
4,2023,620,3144,2832
5,2023,537,3339,2083
6,2023,106,1812,1264
7,2023,336,2945,2514
8,2023,106,4691,3796
9,2023,327,3045,1364
10,2023,336,3808,3728
11,2023,327,4942,4040
12,2023,412,3273,1950
13,2023,106,3355,1566
14,2023,526,1944,1810
15,2023,313,2125,867
16,2023,537,2456,1477
17,2023,106,5054,4588
18,2023,326,2557,1707
19,2023,106,2133,1451
20,2023,106,1740,995
21,2023,100,418,405
22,2023,337,6676,5088
23,2023,320,6906,2853
24,2023,327,4487,3354
25,2023,326,1256,971
26,2023,326,12712,10312
27,2023,320,2618,1253
28,2023,336,4615,3837
29,2023,204,2775,2765
30,2023,323,3375,2038
31,2023,106,1691,1535
32,2023,106,2105,1944
33,2023,320,3819,3417
34,2023,640,1678,824
35,2023,320,1728,1409
36,2023,546,4283,3487
37,2023,326,974,485
38,2023,527,2625,1585
39,2023,106,992,418
40,2023,206,1782,1047
41,2023,106,1414,776
42,2023,326,1209,731
43,2023,547,1444,572
44,2023,206,1664,658
45,2023,600,6348,5980
46,2023,327,3604,1759
47,2023,336,3952,2388
48,2023,106,3391,2124
49,2023,106,2814,1568
50,2023,106,786,493
51,2023,547,3187,2856
52,2023,520,3445,1567
53,2023,106,5282,2455
54,2023,525,4975,2942
55,2023,106,6908,6354
56,2023,336,2197,1680
57,2023,106,823,728
58,2023,527,1959,807
59,2023,206,4006,2087
60,2023,412,2398,1012
61,2023,527,5461,2753
62,2023,547,3856,1943
63,2023,547,4056,3226
64,2023,600,6095,6015
65,2023,336,2049,1298
66,2023,206,2500,1956
67,2023,536,5585,2891
68,2023,525,5994,4160
69,2023,206,916,769
70,2023,327,2399,1065
71,2023,106,1769,1442
72,2023,526,1863,1388
73,2023,327,2140,1433
74,2023,206,3169,1518
75,2023,323,5085,3459
76,2023,106,2200,1002
77,2023,317,4243,3707
78,2023,206,2702,2332
79,2023,106,1009,445
80,2023,545,928,854
81,2023,327,3983,1822
82,2023,546,3101,1434
83,2023,320,4087,2613
84,2023,206,2456,1008
85,2023,106,1986,1270
86,2023,200,2449,1516
87,2023,106,3533,2589
88,2023,535,3089,1853
89,2023,522,2382,1710
90,2023,320,2647,1469
91,2023,336,1204,795
92,2023,106,2907,1437
93,2023,106,1715,754
94,2023,317,1528,1056
95,2023,320,1155,476
96,2023,106,1551,738
97,2023,317,7535,5028
98,2023,320,4038,2684
99,2023,206,1854,1173
100,2023,413,1704,1328
101,2023,206,3744,3264
102,2023,640,1488,945
103,2023,336,2308,1638
104,2023,520,1837,1110
105,2023,640,2748,1168
106,2023,206,2567,1536
107,2023,337,2133,1338
108,2023,106,1828,1418
109,2023,206,3290,2590
110,2023,336,3359,2041
111,2023,336,3292,3281
112,2023,106,4299,3861
113,2023,317,1223,548
114,2023,327,1429,1128
115,2023,106,3335,3242
116,2023,326,7775,4369
117,2023,337,3305,2832
118,2023,106,1129,831
119,2023,327,5035,3466
120,2023,520,1338,1155
121,2023,106,8806,5968
122,2023,326,2475,1670
123,2023,412,3252,3114
124,2023,106,2634,1593
125,2023,536,3012,2654
126,2023,640,859,780
127,2023,525,3480,3124
128,2023,537,1901,867
129,2023,206,1200,984
130,2023,206,4299,3240
131,2023,106,3603,3402
132,2023,106,1229,555
133,2023,106,2681,2147
134,2023,206,2520,1158
135,2023,327,4366,2960
136,2023,327,3991,2499
137,2023,327,1851,1709
138,2023,415,2049,1941
139,2023,204,1825,1140
140,2023,327,2325,1231
141,2023,556,1842,1279
142,2023,206,4638,3072
143,2023,206,1437,1160
144,2023,410,2495,1347
145,2023,204,3213,2334
146,2023,317,2269,1058
147,2023,540,3591,3521
148,2023,106,1607,1310
149,2023,204,1079,520
150,2023,547,2620,2033
151,2023,320,1387,738
152,2023,547,2818,2665
153,2023,317,2602,2447
154,2023,100,1779,750
155,2023,106,2260,1624
156,2023,204,2433,1636
157,2023,337,4283,4075
158,2023,327,4204,3621
159,2023,555,3315,1805
160,2023,326,2235,2095
161,2023,106,1746,740
162,2023,106,4163,4028
163,2023,204,1616,1157
164,2023,206,6139,4682
165,2023,106,2946,1178
166,2023,206,1259,882
167,2023,320,8961,8387
168,2023,320,1380,1109
169,2023,106,2441,1337
170,2023,106,1452,1393
171,2023,327,1477,860
172,2023,106,2553,2338
173,2023,200,904,761
174,2023,206,1599,838
175,2023,327,2257,2126
